|user|created|ocena1|ocena2|ocena3|ocena4|ocena5|ocena6|ocena7|ocena8|ocena9|ocena10|ocena11|ocena12|ocena13|ocena14|ocena15|ocena16|ocena17|ocena18|ocena19|ocena20|ocena21|ocena22|ocena23|ocena24|ocena25|ocena26|uwaga|s1_pytanie1|s1_pewnosc1|s1_pytanie2|s1_pewnosc2|s1_pytanie3|s1_pewnosc3|s1_pytanie4|s1_pewnosc4|s2_pytanie1|s2_pewnosc1|s2_pytanie2|s2_pewnosc2|s2_pytanie3|s2_pewnosc3|s2_pytanie4|s2_pewnosc4|s3_pytanie1|s3_pewnosc1|s3_pytanie2|s3_pewnosc2|s3_pytanie3|s3_pewnosc3|s3_pytanie4|s3_pewnosc4|s4_pytanie1|s4_pewnosc1|s4_pytanie2|s4_pewnosc2|s4_pytanie3|s4_pewnosc3|s4_pytanie4|s4_pewnosc4|s5_pytanie|s5_pewnosc|s6_pytanie|s6_pewnosc|s7_pytanie|s7_pewnosc|s8_pytanie|s8_pewnosc|wiek|plec|wyksztalcenie
0|01db3a7c-c3f0-41f6-a141-8bd79f07483d|2021-04-14 11:27:13|3|2|3|5|4|4|4|4|5|3|3|4|4|3|4|5|4|3|5|3|4|3|4|4|3|5||1|3|3|1|4|2|2|2|3|2|2|3|4|2|1|3|2|2|3|2|1|3|4|1|1|3|4|2|3|3|2|2|3|3|1|3|2|2|4|2|22|2|3
1|0aa95f9d-b6ce-4ec4-b1ee-b62734c66b7d|2021-04-08 21:09:03|4|6|2|1|3|5|5|3|6|2|4|3|4|6|4|6|4|3|4|4|3|5|5|3|2|6||1|3|3|1|2|3|4|2|3|3|2|3|4|1|1|3|2|3|3|2|1|3|4|3|1|3|4|2|3|2|2|2|3|3|1|3|2|3|4|1|22|2|3
2|0d1cead7-09d9-4b77-b6bf-82500cc80842|2021-04-14 11:37:51|6|7|1|4|3|4|5|4|3|2|4|3|6|6|4|5|4|4|4|5|2|6|3|3|2|4||1|1|3|2|4|2|2|2|3|1|2|1|4|3|1|1|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|2|2|1|3|2|3|4|2|22|1|3
3|1233e7c0-0e9a-462d-aa5f-7c745b454d5a|2021-04-08 08:53:21|7|7|2|2|1|6|6|5|2|2|6|2|7|7|5|7|2|2|1|6|2|6|1|1|1|7||1|3|3|3|2|2|4|2|3|3|2|3|4|3|1|3|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|3|3|1|3|2|3|4|2|22|1|3
4|14acddb7-e875-4724-b8e4-9cec9d78cbe8|2021-04-14 07:21:44|6|4|1|2|2|6|6|4|3|2|5|2|4|7|4|7|1|2|3|5|4|3|2|1|1|6|Całość bardzo ładnie opracowana graficznie, pomysł super - coś nowego i ciekawego, trochę jak zabawa. Na początku musiałam poświęcić chwilę na zrozumienie o co chodzi i czego się ode mnie oczekuje, ale potem już poszło intuicyjnie.|1|3|3|3|2|2|4|2|3|3|2|2|4|2|1|3|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|3|3|1|3|4|2|4|2|19|1|3
5|1ee18b64-fc0b-4a5b-8d89-1185e77fc0ea|2021-04-17 10:39:49|6|6|2|2|4|6|6|6|2|2|4|4|6|6|4|6|4|4|4|4|2|4|4|3|2|5||1|3|2|3|3|3|4|3|3|3|2|3|4|3|1|3|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|3|3|1|3|2|3|4|3|48|1|5
6|1f502726-9039-4d76-8722-9c86c8fd8d36|2021-04-07 11:12:33|5|5|2|3|4|5|6|3|2|2|4|4|4|6|3|6|4|2|3|5|5|3|5|3|3|6||1|3|3|3|4|2|2|2|3|3|2|3|4|3|1|3|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|3|2|1|3|2|2|4|3|21|2|3
7|21b5208e-d78e-439a-a8f9-1b2013e96c52|2021-04-14 11:18:23|6|5|2|3|4|4|5|4|3|2|4|3|5|5|4|5|3|4|3|5|3|5|3|3|3|5||1|3|3|3|4|3|2|3|3|3|2|2|4|2|1|3|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|3|3|1|3|2|2|4|2|19|1|3
8|2a43c48f-fd2a-45c7-84ed-e9bc17d38531|2021-04-13 09:43:53|6|3|1|1|2|5|5|5|2|2|6|1|3|6|3|6|2|3|2|6|5|5|2|2|2|7||1|3|3|3|2|3|4|2|3|3|2|2|4|2|1|3|2|2|3|3|1|2|4|3|1|3|4|3|3|3|2|3|3|3|1|3|2|3|4|3|23|1|4
9|2c5daffe-5bc3-4dae-99af-b7449040752f|2021-04-09 15:42:06|5|4|2|3|3|6|6|5|2|2|4|3|3|7|3|6|3|4|3|6|3|6|3|2|2|6||1|3|3|3|2|3|4|3|3|3|2|3|4|3|1|3|2|3|3|3|1|3|4|3|1|3|4|3|3|3|2|3|3|3|1|3|2|3|4|2|22|1|3
